ID,Name,Latitude,Longitude,Elevation
BM-80-2,No 2 Gun Emplacement North,-33.81657,151.29899,92
BM-81,The Barracks (Return),-33.81131,151.29761,90
BM-82,Old Quarry Swamp,-33.805,151.30069,76
BM-82-1,Wall Gate,-33.80278,151.30108,31
BM-83,Shelly Head,-33.79933,151.29755,6
BM-84,Shelly Beach,-33.80094,151.29841,9
BM-85,Manly Beach,-33.79695,151.28833,4
BM-9,The Gap,-33.84303,151.28424,26
BM-A1,Cremorne,-33.82813,151.2302,86
BM-A2,Mosman,-33.82411,151.24153,96
F-F1,Saint-Jean-Pied-de-Port,43.1634,-1.23579,183
F-F10,Puerto de Mezkiritz,42.9799,-1.38658,924
F-F100,Terradillos de los Templarios,42.36248,-4.89144,882
F-F101,Moratinos,42.36067,-4.92632,860
F-F102,San Nicolas de Real Camino,42.36371,-4.95178,845
F-F103,Calzada de los Molinos,42.32756,-4.65238,828
F-F104,Cervatos de la Cueza,42.29055,-4.76945,849
F-F105,Villada,42.25111,-4.96723,798
F-F106,Sahagún,42.37075,-5.02954,828
F-F106-1,Santuario de la Virgen Peregrina,42.36796,-5.03256,826
F-F106-2,Midpoint of the Camino Frances,42.37046,-5.00035,812
F-F107,Calzada del Coto,42.38745,-5.07885,821
F-F107-1,Alternative Route,42.38282,-5.07648,821
F-F108,Bercianos de Real Camino,42.38783,-5.14334,853
F-F109,El Burgo Ranero,42.42129,-5.217771,879
F-F11,Bizkarreta (Gerendiain),42.96846,-1.417,787
F-F110,Desvio a Villamarco,42.44968,-5.30768,853
F-F111,Reliegos,42.47518,-5.35463,822
F-F112,Mansilla de Las Mulas,42.49772,-5.41499,800
F-F113,Villamoros de Mansilla,42.53533,-5.4448,798
F-F114,Puente Villarente,42.544326,-5.45646,803
F-F115,Arcahueja,42.56715,-5.49599,853
F-F116,Valdelafuente,42.56947,-5.51426,865
F-F117,Calzadilla de los Hermanillos,42.43321,-5.155,888
F-F118,León,42.59897,-5.56715,833
F-F118-1,Catedral de León,42.6,-5.56712,835
F-F119,Trobajo del Camino,42.59622,-5.608,840
F-F12,Linzoáin (Lintzoain),42.96233,-1.43779,745
F-F120,La Virgen del Camino,42.58014,-5.64082,908
F-F120-1,Alternative Routes,42.57779,-5.64485,892
F-F121,Valverde de la Virgen,42.5707,-5.67755,902
F-F122,San Miguel del Camino,42.56179,-5.69726,899
F-F123,Villadangos del Páramo,42.51885,-5.76524,896
F-F124,San Martin del Camino,42.49521,-5.80832,868
F-F125,Fresno del Camino,42.5656,-5.65373,876
F-F126,Oncina de la Valdoncina,42.55227,-5.6611,870
F-F127,Chozas de Abajo,42.50842,-5.68849,883
F-F128,Villar de Mazarife,42.48304,-5.72833,872
F-F129,Villavante,42.46209,-5.83499,836
F-F13,Pass of Erro,42.94657,-1.47826,700
F-F130,Hospital de Órbigo y Puente Órbigo,42.45905,-5.881,817
F-F130-1,Alternative Routes,42.45798,-5.88681,819
F-F131,Villares de Órbigo,42.47007,-5.91001,827
F-F132,Santibáñez de Valdeiglesias,42.45884,-5.93017,849
F-F133,San Justo de la Vega,42.45418,-6.0148,853
F-F134,Astorga,42.45642,-6.0536,867
F-F135,Valdeviejas,42.45925,-6.08093,861
F-F136,Murias de Rechivaldo,42.45965,-6.10489,883
F-F137,Castrillo de los Polvazares,42.46512,-6.12838,908
F-F138,Santa Catalina de Somoza,42.45522,-6.15862,975
F-F139,El Ganso,42.46258,-6.20836,1017
F-F14,Zubiri,42.93468,-1.50356,535
F-F140,Rabanal del Camino,42.48239,-6.28506,1158
F-F141,Foncebadón,42.49145,-6.34283,1426
F-F142,Cruz de Ferro,42.48882,-6.36145,1507
F-F143,Manjarín,42.49029,-6.38673,1433
F-F143-1,Tomás,42.4904,-6.38674,1433
F-F144,El Acebo,42.49891,-6.45701,1129
F-F145,Riego de Ambrós,42.52106,-6.47875,936
F-F146,Molinaseca,42.53765,-6.51921,588
F-F147,Campo de Ponferrada,42.53855,-6.56402,534
F-F148,Ponferrada,42.54301,-6.5939,522
F-F148-1,Castillo de los Templarios,42.543539,-6.59379,521
F-F148-2,Oficina de Turismo de Ponferrada,42.54414,-6.5927,531
F-F148-3,Starting Point of the Winter Route,42.54288,-6.58923,532
F-F149,Columbrianos,42.57349,-6.61125,524
F-F15,Ilarratz,42.91102,-1.51711,550
F-F150,Fuentes Nuevas,42.57686,-6.63859,509
F-F151,Camponaraya,42.57603,-6.66081,496
F-F151-1,Alternative Route,42.58063,-6.67112,494
F-F152,Cacabelos,42.59996,-6.72782,479
F-F153,Pieros,42.60572,-6.75,544
F-F153-1,Alternative Route,42.6062,-6.75513,567
F-F154,Valtuille de Arriba,42.61579,-6.76485,556
F-F155,Villafranca del Bierzo,42.60797,-6.80864,512
F-F155-1,Alternative Route,42.60934,-6.81194,505
F-F156,Pereje,42.62609,-6.84388,552
F-F157,Pradela,42.66107,-6.86452,934
F-F158,Trabadelo,42.64925,-6.88051,574
F-F159,La Portela de Valcarce,42.65995,-6.92045,601
F-F16,Eskirotz,42.90788,-1.52487,528
F-F160,Ambasmestas,42.66579,-6.928539,614
F-F161,Vega de Valcarce,42.66501,-6.94577,638
F-F162,Ruitelán,42.672957,-6.96708,662
F-F163,Las Herrerías,42.67079,-6.98107,674
F-F163-1,Steep Ascent,42.68014,-7.00376,796
F-F164,La Faba,42.68467,-7.00891,904
F-F164-1,Steep Ascent,42.68919,-7.01299,974
F-F165,La Laguna de Castilla,42.7014,-7.02214,1158
F-F166,O Cebreiro,42.70777,-7.0446,1283
F-F167,Liñares,42.69904,-7.07408,1218
F-F168,Hospital da Condesa,42.70488,-7.0999,1238
F-F169,Padornelo,42.71172,-7.12268,1288
F-F169-1,Steep Ascent,42.71231,-7.12424,1306
F-F17,Larrasoaña (Larrasoaina),42.90165,-1.54123,496
F-F170,Alto do Poio,42.712369,-7.12601,1340
F-F171,Fonfría,42.73083,-7.15645,1290
F-F172,O Biduedo,42.74386,-7.17815,1187
F-F173,Filobal,42.74403,-7.20472,964
F-F174,Pasantes,42.7504,-7.22048,799
F-F175,Triacastela,42.75593,-7.2398,668
F-F175-1,Alternative Routes,42.75509,-7.24354,657
F-F176,San Christovo do Real,42.74042,-7.27282,602
F-F177,Renche,42.73966,-7.29078,600
F-F178,Lastres,42.74046,-7.2953,590
F-F179,Freituxe,42.74218,-7.30741,582
F-F18,Aquerreta (Akerreta),42.89647,-1.54365,533
F-F180,San Martiño do Real,42.73626,-7.31649,583
F-F181,Samos,42.73057,-7.32662,539
F-F181-1,Mosteiro de San Xulián e San Xulián e Santa Basilisa de Samos,42.73265,-7.32575,538
F-F182,Teiguín,42.72453,-7.3418,518
F-F183,Pascais,42.73368,-7.34682,523
F-F184,Gorolfe,42.74012,-7.35535,501
F-F185,Veiga de Reiriz,42.75182,-7.35652,499
F-F186,Perros,42.77063,-7.35679,473
F-F187,A Balsa,42.76614,-7.25382,722
F-F188,San Xil,42.766524,-7.2721,862
F-F189,Montán,42.7667,-7.29748,750
F-F19,Zuriáin (Zuriain),42.87865,-1.56617,481
F-F190,Fontearcuda,42.76869,-7.30945,733
F-F191,Furela,42.77274,-7.3212,665
F-F192,Pintin,42.7738,-7.33924,631
F-F193,Calvor,42.77386,-7.35523,525
F-F194,Aguiada,42.77363,-7.36182,498
F-F195,San Mamede do Camiño,42.77396,-7.37668,488
F-F196,Sarria,42.77641,-7.41295,431
F-F197,Barbadelo,42.76592,-7.4503,548
F-F198,Rente,42.76819,-7.45932,596
F-F199,Marzán,42.7725,-7.47984,597
F-F2,Huntto,43.12428,-1.24495,492
F-F20,Iroz (Irotz),42.86179,-1.5708,476
F-F200,Leimán,42.78043,-7.48326,629
F-F201,Peruscallo,42.78051,-7.49341,635
F-F202,Morgade,42.78231,-7.52119,656
F-F203,Ferreiros,42.78379,-7.52964,657
F-F204,A Pena,42.78546,-7.5428,643
F-F205,Mercadoiro,42.78976,-7.57095,536
F-F206,Moutrás,42.7908,-7.57222,539
F-F207,A Parrocha,42.79395,-7.58788,487
F-F208,Vilachá,42.79547,-7.60358,423
F-F208-1,Alternative Routes,42.79658,-7.60882,421
F-F209,Portomarín,42.80755,-7.61565,387
